Date,High,Low,Open,Close,Volume,Weekday,Diff_percent,Avg_weekday,Diff_from_max,Diff_from_min,Diff_percent_from_avg
2022-02-21,22.90999984741211,21.5,22.799999237060547,21.90999984741211,2049479.0,Monday,0.0,0.0,0.0,7.359999656677246,5.3769285678863525
2022-02-22,21.670000076293945,20.329999923706055,20.5,21.600000381469727,4120858.0,Tuesday,-11.219508473466082,-1.0256937462729965,-1.239999771118164,6.189999580383301,4.171928644180298
2022-02-23,21.549999237060547,20.5,21.5,20.6299991607666,2307543.0,Wednesday,4.651162790697675,0.09716087180443232,-1.3600006103515625,6.359999656677246,4.196928262710571
2022-02-24,19.915000915527344,18.485000610351562,19.0,18.729999542236328,5079376.0,Thursday,-13.157894736842104,-0.4703557752598061,-2.9949989318847656,4.345000267028809,2.371929407119751
2022-02-25,20.100000381469727,18.485000610351562,18.700000762939453,19.46500015258789,4177719.0,Friday,-1.6042739295235728,-0.746609105896314,-2.809999465942383,4.345000267028809,2.4644291400909424
2022-02-28,18.84000015258789,17.28499984741211,17.299999237060547,18.84000015258789,5495429.0,Monday,-8.092494726125672,-0.2419631103555989,-4.069999694824219,3.1449995040893555,1.2344286441802979
2022-03-01,18.78499984741211,17.03499984741211,18.399999618530273,17.110000610351562,4405817.0,Tuesday,5.978263066711904,-1.0256937462729965,-4.125,2.8949995040893555,1.0819284915924072
2022-03-02,17.364999771118164,16.40999984741211,16.600000381469727,17.104999542236328,4006486.0,Wednesday,-10.843368648773362,0.09716087180443232,-5.545000076293945,2.2699995040893555,0.05942845344543457
2022-03-03,17.940000534057617,15.739999771118164,17.110000610351562,16.030000686645508,4940088.0,Thursday,2.980714264693161,-0.4703557752598061,-4.969999313354492,1.5999994277954102,0.011928796768188477
2022-03-04,15.930000305175781,14.960000038146973,15.270000457763672,15.255000114440918,4261321.0,Friday,-12.049771430441483,-0.746609105896314,-6.979999542236328,0.8199996948242188,-1.3830711841583252
2022-03-07,16.280000686645508,14.140000343322754,14.75,15.5600004196167,4222884.0,Monday,-3.5254268322960804,-0.2419631103555989,-6.629999160766602,0.0,-1.6180708408355713
2022-03-08,16.639999389648438,14.949999809265137,15.225000381469727,15.5,4133516.0,Tuesday,3.1198710644884264,-1.0256937462729965,-6.270000457763672,0.8099994659423828,-1.033071756362915
2022-03-09,17.0,15.800000190734863,16.139999389648438,16.434999465942383,4126776.0,Wednesday,5.669139050683951,0.09716087180443232,-5.909999847412109,1.6599998474121094,-0.4280712604522705
2022-03-10,16.78499984741211,16.040000915527344,16.600000381469727,16.264999389648438,2740274.0,Thursday,2.771090248496498,-0.4703557752598061,-6.125,1.9000005722045898,-0.4155709743499756
2022-03-11,17.114999771118164,16.094999313354492,16.280000686645508,16.81999969482422,2999068.0,Friday,-1.9656000081542664,-0.746609105896314,-5.795000076293945,1.9549989700317383,-0.22307181358337402
2022-03-14,17.4950008392334,17.0,17.0,17.364999771118164,2360231.0,Monday,4.2352900785558365,-0.2419631103555989,-5.414999008178711,2.859999656677246,0.41942906379699707
2022-03-15,17.78499984741211,16.959999084472656,17.3700008392334,17.604999542236328,2582276.0,Tuesday,2.1301141125893457,-1.0256937462729965,-5.125,2.8199987411499023,0.5444281101226807
2022-03-16,18.665000915527344,17.68000030517578,18.059999465942383,18.225000381469727,3651880.0,Wednesday,3.820590515576628,0.09716087180443232,-4.244998931884766,3.5399999618530273,1.3444292545318604
2022-03-17,18.920000076293945,17.584999084472656,18.69499969482422,18.375,2894143.0,Thursday,3.396631394744757,-0.4703557752598061,-3.989999771118164,3.4449987411499023,1.4244282245635986
2022-03-18,18.420000076293945,17.700000762939453,18.25,18.3700008392334,5524407.0,Friday,-2.4383544921875,-0.746609105896314,-4.489999771118164,3.560000419616699,1.231929063796997
2022-03-21,18.354999542236328,17.6299991607666,18.354999542236328,17.774999618530273,2091264.0,Monday,0.5720487325249763,-0.2419631103555989,-4.555000305175781,3.4899988174438477,1.1644279956817627
2022-03-22,18.209999084472656,17.514999389648438,18.155000686645508,17.78499984741211,1561737.0,Tuesday,-1.10161855150981,-1.0256937462729965,-4.700000762939453,3.3749990463256836,1.0344278812408447
2022-03-23,17.850000381469727,16.78499984741211,17.7549991607666,16.96500015258789,1939184.0,Wednesday,-2.2528952114106184,0.09716087180443232,-5.059999465942383,2.6449995040893555,0.4894287586212158
